id;value;department_id;ordering
1;L'ABERGEMENT-CLEMENCIAT;1;0
2;L'ABERGEMENT-DE-VAREY;1;0
3;AMBERIEU-EN-BUGEY;1;0
4;AMBERIEUX-EN-DOMBES;1;0
5;AMBLEON;1;0
6;AMBRONAY;1;0
7;AMBUTRIX;1;0
8;ANDERT-ET-CONDON;1;0
9;ANGLEFORT;1;0
10;APREMONT;1;0
11;ARANC;1;0
12;ARANDAS;1;0
13;ARBENT;1;0
14;ARBIGNIEU;1;0
15;ARBIGNY;1;0
16;ARGIS;1;0
17;ARMIX;1;0
18;ARS-SUR-FORMANS;1;0
19;ARTEMARE;1;0
20;ASNIERES-SUR-SAONE;1;0
21;ATTIGNAT;1;0
22;BAGE-LA-VILLE;1;0
23;BAGE-LE-CHATEL;1;0
24;BALAN;1;0
25;BANEINS;1;0
26;BEAUPONT;1;0
27;BEAUREGARD;1;0
28;BELIGNEUX;1;0
29;BELLEGARDE-SUR-VALSERINE;1;0
30;BELLEY;1;0
31;BELLEYDOUX;1;0
32;BELLIGNAT;1;0
33;BELMONT-LUTHEZIEU;1;0
34;BENONCES;1;0
35;BENY;1;0
36;BEON;1;0
37;BEREZIAT;1;0
38;BETTANT;1;0
39;BEY;1;0
40;BEYNOST;1;0
41;BILLIAT;1;0
42;BIRIEUX;1;0
43;BIZIAT;1;0
44;BLYES;1;0
45;BOHAS-MEYRIAT-RIGNAT;1;0
46;LA BOISSE;1;0
47;BOISSEY;1;0
48;BOLOZON;1;0
49;BOULIGNEUX;1;0
50;BOURG-EN-BRESSE;1;0
51;BOURG-SAINT-CHRISTOPHE;1;0
52;BOYEUX-SAINT-JEROME;1;0
53;BOZ;1;0
54;BREGNIER-CORDON;1;0
55;BRENAZ;1;0
56;BRENOD;1;0
57;BRENS;1;0
58;BRESSOLLES;1;0
59;BRION;1;0
60;BRIORD;1;0
61;BUELLAS;1;0
62;LA BURBANCHE;1;0
63;CEIGNES;1;0
64;CERDON;1;0
65;CERTINES;1;0
66;CESSY;1;0
67;CEYZERIAT;1;0
68;CEYZERIEU;1;0
69;CHALAMONT;1;0
70;CHALEINS;1;0
71;CHALEY;1;0
72;CHALLES;1;0
73;CHALLEX;1;0
74;CHAMPAGNE-EN-VALROMEY;1;0
75;CHAMPDOR;1;0
76;CHAMPFROMIER;1;0
77;CHANAY;1;0
78;CHANEINS;1;0
79;CHANOZ-CHATENAY;1;0
80;LA CHAPELLE-DU-CHATELARD;1;0
81;CHARIX;1;0
82;CHARNOZ-SUR-AIN;1;0
83;CHATEAU-GAILLARD;1;0
84;CHATENAY;1;0
85;CHATILLON-EN-MICHAILLE;1;0
86;CHATILLON-LA-PALUD;1;0
87;CHATILLON-SUR-CHALARONNE;1;0
88;CHAVANNES-SUR-REYSSOUZE;1;0
89;CHAVANNES-SUR-SURAN;1;0
90;CHAVEYRIAT;1;0
91;CHAVORNAY;1;0
92;CHAZEY-BONS;1;0
93;CHAZEY-SUR-AIN;1;0
94;CHEIGNIEU-LA-BALME;1;0
95;CHEVILLARD;1;0
96;CHEVROUX;1;0
97;CHEVRY;1;0
98;CHEZERY-FORENS;1;0
99;CIVRIEUX;1;0
100;CIZE;1;0
101;CLEYZIEU;1;0
102;COLIGNY;1;0
103;COLLONGES;1;0
104;COLOMIEU;1;0
105;CONAND;1;0
106;CONDAMINE;1;0
107;CONDEISSIAT;1;0
108;CONFORT;1;0
109;CONFRANCON;1;0
110;CONTREVOZ;1;0
111;CONZIEU;1;0
112;CORBONOD;1;0
113;CORCELLES;1;0
114;CORLIER;1;0
115;CORMARANCHE-EN-BUGEY;1;0
116;CORMORANCHE-SUR-SAONE;1;0
117;CORMOZ;1;0
